Team,Player
Koln,F. Sorensen
Koln,J. Hector
Koln,Y. Osako
RB Leipzig,E. Forsberg
RB Leipzig,M. Sabitzer
RB Leipzig,W. Orban
RB Leipzig,K. Kampl
Schalke 04,B. Embolo
Schalke 04,Naldo
Schalke 04,N. Bentaleb
Bayer Leverkusen,J. Brandt
Bayer Leverkusen,K. Volland
Bayer Leverkusen,K. Havertz
Bayer Leverkusen,P. Retsos
Schalke 04,F. Di Santo
Bayer Leverkusen,L. Bailey
Schalke 04,L. Goretzka
Schalke 04,G. Burgstaller
Koln,V. Koziello
Bayer Leverkusen,L. Alario
Bayer Leverkusen,T. Jedvaj
Schalke 04,-
Freiburg,R. Koch
Borussia M'gladbach,C. Kramer
Hoffenheim,A. Kramaric
Freiburg,N. Petersen
Stuttgart,E. Thommy
Hoffenheim,A. Szalai
Borussia M'gladbach,J. Vestergaard
Hannover 96,J. Korb
Bayern Munchen,R. Lewandowski
Borussia M'gladbach,J. Hofmann
Hannover 96,W. Anton
Hannover 96,O. Sorg
Hannover 96,I. Bebou
Borussia M'gladbach,L. Stindl
Borussia M'gladbach,T. Hazard
Hannover 96,F. Klaus
Hannover 96,I. Fossum
Bayern Munchen,F. Ribery
Bayern Munchen,M. Hummels
Bayern Munchen,D. Alaba
Hertha BSC,V. Darida
Hertha BSC,S. Kalou
Hertha BSC,P. Pekarik
Eintracht Frankfurt,A. Rebic
Eintracht Frankfurt,D. da Costa
Stuttgart,D. Ginczek
Stuttgart,S. Ascacibar
Stuttgart,H. Badstuber
Stuttgart,C. Gentner
Stuttgart,M. Gomez
Eintracht Frankfurt,L. Jovic
Eintracht Frankfurt,M. Fabian
Werder Bremen,M. Eggestein
Werder Bremen,Z. Junuzovic
Hamburger SV,Walace
Hoffenheim,F. Grillitsch
Hoffenheim,S. Gnabry
Hoffenheim,P. Kaderabek
Hoffenheim,D. Geiger
Hoffenheim,R. Zulj
Hoffenheim,K. Akpoguma
Freiburg,J. Haberer
Werder Bremen,P. Bargfrede
Hamburger SV,A. Hunt
Werder Bremen,L. Augustinsson
Hertha BSC,N. Stark
Bayern Munchen,Thiago Alcantara
Hertha BSC,V. Lazaro
Bayern Munchen,A. Vidal
Bayern Munchen,A. Robben
Werder Bremen,F. Kainz
Hamburger SV,B. Jatta
Hamburger SV,Douglas Santos
Werder Bremen,N. Moisander
Hannover 96,S. Sane
Hannover 96,M. Ostrzolek
Hannover 96,Jonathas
Borussia M'gladbach,R. Bobadilla
Hannover 96,N. Fullkrug
Borussia M'gladbach,N. Elvedi
Werder Bremen,R. van Drongelen
Mainz 05,A. Ujah
Mainz 05,D. Latza
Mainz 05,R. Quaison
Mainz 05,J. Gbamin
Wolfsburg,D. Origi
Wolfsburg,D. Didavi
Wolfsburg,William
Wolfsburg,Y. Malli
Wolfsburg,J. Guilavogui
Mainz 05,E. Berggreen
Mainz 05,Y. Muto
Mainz 05,S. Serdar
Wolfsburg,J. Brekalo
RB Leipzig,Y. Poulsen
Eintracht Frankfurt,K. Boateng
Eintracht Frankfurt,T. Chandler
RB Leipzig,T. Werner
Eintracht Frankfurt,S. Haller
Eintracht Frankfurt,M. Wolf
RB Leipzig,A. Lookman
Eintracht Frankfurt,S. Falette
Augsburg,Ja-Cheol Koo
Augsburg,M. Heller
Augsburg,S. Cordova
Borussia M'gladbach,M. Ginter
Borussia M'gladbach,D. Zakaria
Borussia M'gladbach,J. Drmic
Bayern Munchen,C. Tolisso
Bayern Munchen,S. Wagner
Bayern Munchen,T. Muller
Werder Bremen,T. Gebre Selassie
Werder Bremen,M. Rashica
Werder Bremen,I. Belfodil
Hamburger SV,B. Wood
Hamburger SV,J. Arp
Bayer Leverkusen,D. Kohr
Bayer Leverkusen,C. Aranguiz
Hamburger SV,F. Kostic
Hamburger SV,G. Jung
Freiburg,M. Terrazzino
Werder Bremen,T. Delaney
Freiburg,C. Soyuncu
Hoffenheim,N. Schulz
Hoffenheim,S. Zuber
Hoffenheim,L. Rupp
Schalke 04,D. Caligiuri
Hoffenheim,M. Uth
Schalke 04,A. Schopf
Hoffenheim,E. Bicakcic
Koln,S. Ozcan
Koln,Jorge Mere
Hannover 96,K. Karaman
Bayern Munchen,Javi Martinez
Bayern Munchen,S. Rudy
Bayern Munchen,N. Sule
Hamburger SV,A. Hahn
Schalke 04,T. Kehrer
Mainz 05,S. Bell
Hertha BSC,D. Selke
Hertha BSC,M. Plattenhardt
Mainz 05,L. Balogun
Hertha BSC,V. Ibisevic
Mainz 05,G. Holtmann
Hertha BSC,M. Weiser
Wolfsburg,P. Verhaegh
Wolfsburg,V. Osimhen
Stuttgart,T. Baumgartl
Borussia M'gladbach,V. Grifo
Borussia M'gladbach,Raffael
Werder Bremen,M. Kruse
Wolfsburg,M. Arnold
Freiburg,L. Holer
Freiburg,F. Kath
Freiburg,T. Kleindienst
Freiburg,A. Abrashi
Bayer Leverkusen,J. Tah
Bayer Leverkusen,K. Bellarabi
Bayern Munchen,K. Coman
Hamburger SV,S. Salihovic
Bayer Leverkusen,J. Pohjanpalo
Hertha BSC,A. Maier
Bayer Leverkusen,J. Baumgartlinger
Hoffenheim,N. Amiri
Hoffenheim,B. Hubner
Mainz 05,D. Brosinski
Koln,J. Cordoba
Koln,M. Jojic
Koln,S. Zoller
Eintracht Frankfurt,M. Russ
Freiburg,M. Gulde
Borussia Dortmund,M. Gotze
Augsburg,D. Baier
Augsburg,R. Khedira
RB Leipzig,L. Klostermann
RB Leipzig,N. Keita
Augsburg,M. Richter
Hamburger SV,K. Papadopoulos
Hannover 96,M. Harnik
Hamburger SV,G. Sakai
Augsburg,J. Moravek
Schalke 04,Y. Konoplyanka
Bayern Munchen,J. Rodriguez
Stuttgart,A. Beck
Bayer Leverkusen,B. Henrichs
Wolfsburg,J. Bruma
Stuttgart,A. Donis
Freiburg,C. Gunter
Wolfsburg,M. Tisserand
Schalke 04,M. Pjaca
Schalke 04,A. Harit
Bayern Munchen,Juan Bernat
Stuttgart,B. Pavard
Mainz 05,A. Diallo
Bayern Munchen,J. Boateng
Mainz 05,A. Maxim
Borussia M'gladbach,M. Cuisance
Borussia M'gladbach,P. Herrmann
Werder Bremen,A. Johannsson
Borussia Dortmund,C. Pulisic
Koln,M. Hoger
Koln,S. Guirassy
Borussia Dortmund,S. Kagawa
Bayer Leverkusen,Wendell
Bayer Leverkusen,L. Bender
Borussia Dortmund,J. Toljan
RB Leipzig,K. Laimer
RB Leipzig,D. Demme
Stuttgart,M. Kaminski
Werder Bremen,J. Gondorf
Schalke 04,M. Nastasic
Stuttgart,D. Burnic
Koln,M. Lehmann
Augsburg,J. Gouweleeuw
Koln,C. Clemens
Koln,L. Klunter
Borussia Dortmund,A. Yarmolenko
Borussia Dortmund,J. Sancho
Borussia Dortmund,P. Aubameyang
Freiburg,L. Kubler
Borussia Dortmund,O. Toprak
Borussia Dortmund,L. Piszczek
Borussia Dortmund,N. Sahin
Hertha BSC,O. Duda
Schalke 04,M. Meyer
RB Leipzig,Bernardo
Freiburg,M. Kempf
Hamburger SV,D. Diekmeier
Hamburger SV,V. Janjicic
Hamburger SV,L. Holtby
Stuttgart,B. Ozcan
Augsburg,A. Finnbogason
Wolfsburg,Y. Gerhardt
Mainz 05,A. Hack
Bayer Leverkusen,S. Bender
Borussia Dortmund,A. Isak
Hertha BSC,P. Skjelbred
Borussia Dortmund,J. Weigl
Borussia Dortmund,S. Papastathopoulos
Wolfsburg,R. Steffen
Stuttgart,E. Insua
Hoffenheim,E. Polanski
Stuttgart,C. Akolo
Stuttgart,D. Aogo
Hertha BSC,M. Leckie
Eintracht Frankfurt,Omar Mascarell
Eintracht Frankfurt,M. Gacinovic
Hamburger SV,L. Waldschmidt
Eintracht Frankfurt,B. Hrgota
Freiburg,B. Kapustka
Augsburg,P. Max
Hannover 96,M. Bakalorz
Schalke 04,B. Oczipka
Mainz 05,N. de Jong
Mainz 05,G. Donati
RB Leipzig,M. Halstenberg
RB Leipzig,S. Ilsanker
Hannover 96,C. Benschop
Bayer Leverkusen,A. Mehmedi
Hannover 96,P. Schwegler
Hoffenheim,S. Posch
Hoffenheim,K. Demirbay
Borussia Dortmund,M. Schmelzer
Mainz 05,F. Frei
Mainz 05,P. De Blasis
Mainz 05,L. Oztunali
Freiburg,Y. Ravet
Koln,T. Handwerker
Koln,B. Risa
Koln,D. Heintz
Koln,C. Fuhrich
Borussia M'gladbach,O. Wendt
Hamburger SV,M. Mavraj
Borussia M'gladbach,R. Oxford
Stuttgart,T. Asano
Hertha BSC,J. Torunarigha
Koln,P. Olkowski
Bayern Munchen,Rafinha
Schalke 04,W. McKennie
Borussia Dortmund,Raphael Guerreiro
Hamburger SV,A. Ekdal
Eintracht Frankfurt,C. Salcedo
Eintracht Frankfurt,A. Barkok
Koln,C. Stanko
Koln,K. Rausch
Hertha BSC,A. Esswein
Hertha BSC,S. Langkamp
Hertha BSC,M. Mittelstadt
Freiburg,P. Stenzel
RB Leipzig,D. Kaiser
Eintracht Frankfurt,J. Willems
Borussia Dortmund,Bartra
Hertha BSC,K. Rekik
Hertha BSC,F. Lustenberger
Hannover 96,Miiko Albornoz
Werder Bremen,F. Bartels
Freiburg,N. Hofler
Koln,A. Ouahim
Borussia Dortmund,B. Stambouli
Bayern Munchen,O. Wriedt
Augsburg,D. Opare
Mainz 05,V. Fischer
Freiburg,J. Schuster
Eintracht Frankfurt,M. Stendera
Mainz 05,Kenan
Freiburg,R. Kent
Hannover 96,S. Maier
Bayern Munchen,J. Kimmich
Borussia Dortmund,M. Philipp
Borussia Dortmund,D. Zagadou
Wolfsburg,J. Brooks
Borussia Dortmund,G. Castro
Hamburger SV,T. Ito
Freiburg,M. Frantz
Werder Bremen,I. Hajrovic
Werder Bremen,L. Sane
Schalke 04,F. Reese
Eintracht Frankfurt,D. Abraham
Wolfsburg,F. Uduokhai
Wolfsburg,Ignacio Camacho
Wolfsburg,L. Dimata
Freiburg,F. Niederlechner
Koln,D. Maroh
Borussia M'gladbach,F. Johnson
Borussia M'gladbach,I. Traore
Stuttgart,O. Mangala
Wolfsburg,J. Blaszczykowski
Werder Bremen,J. Eggestein
Augsburg,K. Vogt
Hannover 96,P. Tschauner
Koln,C. Pizarro
Hoffenheim,P. Ochs
Hoffenheim,R. Hack
Freiburg,P. Lienhart
Hertha BSC,V. Stocker
Eintracht Frankfurt,D. Kamada
Eintracht Frankfurt,J. de Guzman
Hoffenheim,H. Nordtveit
Mainz 05,Jairo Samperio
Wolfsburg,R. Knoche
Wolfsburg,P. Ntep
Eintracht Frankfurt,M. Hasebe
Schalke 04,M. Veljkovic
Werder Bremen,R. Bauer
Augsburg,K. Stafylidis
Eintracht Frankfurt,T. Tawatha
Freiburg,V. Sierro
Bayer Leverkusen,S. Kiessling
Eintracht Frankfurt,G. Fernandes
Hamburger SV,S. Schipplock
Hannover 96,Felipe
Wolfsburg,R. Bazoer
Stuttgart,M. Zimmermann
Borussia M'gladbach,L. Benes
Koln,J. Horn
Hamburger SV,N. Muller
Augsburg,M. Hitz
