,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,icon,chanceRating,team,type,time,player,location_x,location_y,bodyPart,shotQuality,defPressure,numDefPlayers,numAttPlayers,outcome,primaryPlayer,primaryType,primaryLocation_x,primaryLocation_y,secondaryPlayer,secondaryType
33376,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,greatchance,greatchance,Arsenal,Open Play,02:00,P. Aubameyang,-41.0,58.0,Right,3,4,1,0,Saved,M. Ozil,Open Play Pass,-47.0,179.0,Mohamed Elneny,Open Play Pass
33374,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,70:38,D. Janmaat,-48.0,56.0,Right,2,5,3,0,Missed,Richarlison,Cross High,97.0,11.0,A. Doucoure,Open Play Pass
33378,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goodchance,goodchance,Watford,Open Play,11:07,A. Doucoure,-16.0,59.0,Right,3,3,3,0,Saved,T. Deeney,Open Play Pass,-53.0,28.0,R. Pereyra,Open Play Pass
33377,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goodchance,goodchance,Watford,Open Play,05:24,Richarlison,51.0,41.0,Left,2,3,2,0,Missed,R. Pereyra,Open Play Pass,36.0,126.0,T. Deeney,Open Play Pass
33379,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,greatchance,greatchance,Arsenal,Open Play,16:38,P. Aubameyang,-14.0,14.0,Right,1,0,1,0,Missed,S. Kolasinac,Cross Low,65.0,31.0,Mohamed Elneny,Open Play Pass
423,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,penawarded,Poor,Watford,[Tackle],60:21,-,-,-,-,N/A,-,-,-,Penalty Awarded,-,-,-,-,-,-
33391,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,Tottenham Hotspur,Open Play,70:42,Heung-Min Son,-66.0,25.0,Right,3,4,2,0,Defended,D. Alli,Open Play Pass,-33.0,96.0,D. Rose,Open Play Pass
33380,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,fairlygoodchance,fairlygoodchance,Arsenal,Open Play,18:21,A. Iwobi,68.0,44.0,Right,2,2,3,0,Missed,Mohamed Elneny,Open Play Pass,-54.0,56.0,A. Maitland-Niles,Open Play Pass
33390,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,poorchance,poorchance,AFC Bournemouth,Open Play,74:04,S. Francis,-54.0,87.0,Right,2,3,3,0,Missed,N. Ake,Cross Low,95.0,22.0,A. Smith,Open Play Pass
33389,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goodchance,goodchance,Watford,Open Play,90:17,S. Prodl,34.0,39.0,Left,1,3,4,0,Missed,A. Doucoure,Open Play Pass,65.0,20.0,E. Capoue,Free Kick
33388,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goodchance,goodchance,Arsenal,Open Play,85:35,D. Welbeck,49.0,44.0,Left,3,3,2,0,Saved,J. Wilshere,Open Play Pass,-8.0,110.0,P. Aubameyang,Open Play Pass
33387,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,52:29,T. Deeney,39.0,41.0,Head,2,4,3,0,Missed,D. Janmaat,Open Play Pass,-29.0,164.0,E. Capoue,Open Play Pass
33386,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,47:31,Kiko Femenia,-38.0,57.0,Right,3,3,2,0,Defended,T. Deeney,Open Play Pass,-9.0,71.0,A. Doucoure,Open Play Pass
33385,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,poorchance,poorchance,Arsenal,Open Play,45:55,G. Xhaka,14.0,101.0,Left,3,1,3,0,Saved,A. Iwobi,Open Play Pass,58.0,79.0,S. Kolasinac,Open Play Pass
33384,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,verygoodchance,verygoodchance,Watford,Open Play,46:34,Richarlison,-12.0,41.0,Head,3,1,2,0,Saved,Kiko Femenia,Cross High,-118.0,23.0,D. Janmaat,Open Play Pass
33383,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goodchance,goodchance,Arsenal,Open Play,34:09,P. Aubameyang,3.0,56.0,Left,1,5,2,0,Missed,H. Mkhitaryan,Dangerous Moment,25.0,94.0,-,-
33382,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,greatchance,greatchance,Arsenal,Open Play,26:45,M. Ozil,-9.0,41.0,Left,3,0,1,0,Saved,Mohamed Elneny,Open Play Pass,-62.0,78.0,A. Maitland-Niles,Open Play Pass
33381,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,greatchance,greatchance,Watford,Open Play,25:57,R. Pereyra,-36.0,21.0,Right,2,0,1,0,Missed,Richarlison,Free Kick,-64.0,84.0,Kiko Femenia,Free Kick Won
33375,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goodchance,goodchance,Arsenal,Open Play,64:12,S. Kolasinac,-7.0,42.0,Head,2,2,2,0,Missed,M. Ozil,Corner,-136.0,1.0,H. Mkhitaryan,Corner Won
33402,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,AFC Bournemouth,Open Play,04:33,J. Stanislas,-63.0,47.0,Right,3,3,3,0,Defended,D. Gosling,Dangerous Moment,39.0,80.0,C. Wilson,Open Play Pass
33408,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,verygoodchance,verygoodchance,Tottenham Hotspur,Open Play,87:51,Heung-Min Son,47.0,48.0,Left,3,1,1,0,Saved,M. Sissoko,Open Play Pass,-48.0,184.0,E. Lamela,Open Play Pass
125,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,penmissed,-,Watford,Penalty Earned,61:09,T. Deeney,-,-,Right,2,-,-,-,Saved,R. Pereyra,-,69.0,59.0,-,-
33396,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,poorchance,poorchance,Tottenham Hotspur,Open Play,56:46,C. Eriksen,-10.0,97.0,Right,3,3,3,0,Saved,D. Alli,Open Play Pass,107.0,74.0,E. Lamela,Open Play Pass
33403,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,verygoodchance,verygoodchance,AFC Bournemouth,Open Play,10:00,L. Mousset,-23.0,18.0,Right,2,3,2,0,Missed,J. Stanislas,Corner,-136.0,2.0,C. Wilson,Corner Won
33404,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,AFC Bournemouth,Direct Free-Kick,14:58,J. Stanislas,-22.0,107.0,Right,3,0,5,0,Defended,D. Gosling,Free Kick Won,-24.0,105.0,-,-
33405,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,Tottenham Hotspur,Open Play,16:12,D. Rose,66.0,50.0,Left,3,3,5,0,Defended,Heung-Min Son,Cross Low,95.0,10.0,D. Alli,Open Play Pass
33400,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,poorchance,poorchance,AFC Bournemouth,Open Play,33:58,L. Mousset,-29.0,98.0,Left,3,3,2,0,Saved,L. Mousset,Open Play Pass,-60.0,151.0,S. Cook,Open Play Pass
33399,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,AFC Bournemouth,Open Play,38:55,A. Smith,-44.0,67.0,Right,2,3,1,0,Missed,C. Wilson,Open Play Pass,-66.0,85.0,L. Mousset,Open Play Pass
33398,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,poorchance,poorchance,Tottenham Hotspur,Open Play,44:54,C. Eriksen,7.0,102.0,Left,3,4,3,0,Saved,E. Lamela,Open Play Pass,-21.0,103.0,C. Eriksen,Open Play Pass
33397,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,AFC Bournemouth,Open Play,46:15,S. Francis,-56.0,80.0,Right,3,0,2,0,Saved,D. Gosling,Dangerous Moment,45.0,69.0,-,-
33395,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goodchance,goodchance,AFC Bournemouth,Open Play,57:43,D. Gosling,3.0,61.0,Right,2,4,2,0,Missed,C. Wilson,Open Play Pass,45.0,68.0,A. Smith,Turnover
33407,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,verygoodchance,verygoodchance,Tottenham Hotspur,Dangerous Moment,32:01,D. Alli,17.0,36.0,Right,0,0,3,0,Missed,S. Aurier,Cross High,-110.0,73.0,C. Eriksen,Open Play Pass
33394,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goodchance,goodchance,Tottenham Hotspur,Open Play,64:40,Heung-Min Son,-61.0,26.0,Right,3,3,1,0,Saved,S. Aurier,Open Play Pass,-115.0,86.0,D. Alli,Open Play Pass
33393,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,Tottenham Hotspur,Open Play,65:27,E. Lamela,-43.0,0.0,Left,3,3,1,0,Saved,Heung-Min Son,Shot (Opposition Rebound),-43.0,29.0,E. Lamela,Corner
33392,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,poorchance,poorchance,AFC Bournemouth,Open Play,67:38,J. Stanislas,16.0,94.0,Right,3,3,5,0,Saved,-,-,19.0,44.0,-,-
33406,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,fairlygoodchance,fairlygoodchance,Tottenham Hotspur,Open Play,26:05,J. Vertonghen,-10.0,44.0,Left,2,5,3,0,Missed,D. Rose,Cross Low,112.0,41.0,D. Sanchez,Open Play Pass
33401,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,greatchance,greatchance,AFC Bournemouth,Open Play,03:41,J. Stanislas,14.0,34.0,Left,3,3,1,0,Woodwork,C. Wilson,Open Play Pass,-33.0,84.0,L. Cook,Open Play Pass
33323,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,61:15,S. Mounie,6.0,61.0,Right,4,2,2,0,Saved,-,-,-,-,-,-
33330,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,47:29,S. Mounie,56.0,55.0,Left,2,2,3,0,Saved,J. Hogg,Open Play Pass,71.0,115.0,A. Pritchard,Open Play Pass
33340,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,16:38,R. van La Parra,61.0,40.0,Right,1,3,3,0,Missed,A. Mooy,Open Play Pass,39.0,103.0,J. Hogg,Open Play Pass
33338,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,19:06,C. Schindler,12.0,40.0,Head,2,4,2,0,Missed,R. van La Parra,Cross High,-120.0,79.0,F. Hadergjonaj,Open Play Pass
33337,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,poorchance,poorchance,Huddersfield Town,Open Play,21:26,A. Pritchard,-47.0,82.0,Right,1,3,2,0,Missed,R. van La Parra,Open Play Pass,-68.0,97.0,T. Ince,Open Play Pass
33336,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,25:02,T. Ince,-45.0,31.0,Left,2,3,2,0,Defended,J. Hogg,Open Play Pass,-95.0,98.0,F. Hadergjonaj,Open Play Pass
33335,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,poorchance,poorchance,Huddersfield Town,Open Play,30:48,A. Pritchard,-47.0,79.0,Left,3,2,4,0,Defended,F. Hadergjonaj,Open Play Pass,-67.0,45.0,A. Mooy,Open Play Pass
33334,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,31:13,J. Hogg,-23.0,29.0,Head,2,3,2,1,Defended,T. Ince,Corner,-136.0,0.0,A. Pritchard,Corner Won
33333,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,goodchance,goodchance,Huddersfield Town,Open Play,38:44,T. Ince,-11.0,40.0,Head,1,1,1,0,Defended,F. Hadergjonaj,Cross High,-121.0,34.0,M. Jorgensen,Open Play Pass
33332,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,goodchance,goodchance,Huddersfield Town,Open Play,41:08,S. Mounie,3.0,38.0,Head,3,3,1,0,Missed,A. Mooy,Cross High,63.0,93.0,S. Malone,Open Play Pass
33331,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,poorchance,poorchance,Huddersfield Town,Direct Free-Kick,44:52,T. Ince,-46.0,107.0,Left,3,0,5,3,Saved,T. Ince,Free Kick Won,-46.0,107.0,-,-
33329,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,poorchance,poorchance,Huddersfield Town,Open Play,50:21,J. Hogg,23.0,110.0,Right,3,2,4,1,Missed,A. Pritchard,Open Play Pass,62.0,68.0,R. van La Parra,Open Play Pass
33328,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,verygoodchance,verygoodchance,Huddersfield Town,Dangerous Moment,51:38,S. Malone,15.0,27.0,Left,0,4,1,0,Defended,F. Hadergjonaj,Cross High,-120.0,90.0,J. Hogg,Open Play Pass
33327,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,goodchance,goodchance,Huddersfield Town,Dangerous Moment,55:18,T. Ince,-53.0,30.0,Right,0,3,1,0,Defended,A. Pritchard,Open Play Pass,-63.0,101.0,A. Mooy,Open Play Pass
33326,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,poorchance,poorchance,Huddersfield Town,Open Play,56:50,T. Ince,-48.0,94.0,Left,2,4,2,1,Missed,A. Pritchard,Open Play Pass,-116.0,102.0,F. Hadergjonaj,Open Play Pass
33325,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,verygoodchance,verygoodchance,Swansea City,Dangerous Moment,59:36,M. van der Hoorn,6.0,51.0,Right,0,2,1,0,Defended,Sung-Yeung Ki,Free Kick,-114.0,144.0,Sung-Yeung Ki,Free Kick Won
33324,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,goodchance,goodchance,Huddersfield Town,Open Play,60:01,S. Mounie,-38.0,50.0,Right,2,2,2,0,Missed,F. Hadergjonaj,Cross Low,-123.0,40.0,T. Ince,Open Play Pass
33339,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,18:19,J. Hogg,-5.0,74.0,Right,3,2,4,1,Defended,A. Mooy,Cross Low,99.0,16.0,S. Malone,Open Play Pass
33341,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,poorchance,poorchance,Huddersfield Town,Open Play,14:26,R. van La Parra,40.0,92.0,Right,2,3,3,0,Defended,S. Malone,Open Play Pass,74.0,52.0,A. Mooy,Open Play Pass
33342,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,goodchance,goodchance,Huddersfield Town,Open Play,02:20,T. Ince,-13.0,45.0,Left,1,3,2,0,Missed,S. Malone,Cross Low,102.0,37.0,R. van La Parra,Open Play Pass
33352,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,goodchance,goodchance,Chelsea,Open Play,29:54,O. Giroud,16.0,38.0,Head,1,3,3,0,Missed,D. Zappacosta,Cross High,-67.0,22.0,Willian,Open Play Pass
33351,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,poorchance,poorchance,Chelsea,Open Play,33:44,Marcos Alonso,45.0,84.0,Right,2,2,3,0,Defended,O. Giroud,Open Play Pass,22.0,78.0,E. Hazard,Open Play Pass
33350,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,verygoodchance,verygoodchance,Chelsea,Open Play,36:14,Marcos Alonso,12.0,31.0,Left,2,3,2,0,Defended,O. Giroud,Open Play Pass,42.0,35.0,Fabregas,Cross High
33349,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,poorchance,poorchance,Chelsea,Open Play,37:04,D. Zappacosta,-60.0,78.0,Left,2,3,3,0,Missed,Azpilicueta,Open Play Pass,-65.0,252.0,Fabregas,Open Play Pass
33348,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,greatchance,greatchance,Chelsea,Open Play,44:53,O. Giroud,-12.0,37.0,Right,3,1,2,0,Defended,E. Hazard,Open Play Pass,10.0,43.0,Willian,Open Play Pass
33347,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,poorchance,poorchance,Chelsea,Open Play,45:16,D. Zappacosta,-59.0,73.0,Right,3,1,6,2,Saved,E. Hazard,Open Play Pass,57.0,10.0,Fabregas,Corner
33346,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,goodchance,goodchance,Huddersfield Town,Open Play,90:27,T. Ince,8.0,39.0,Head,3,3,2,0,Woodwork,F. Hadergjonaj,Cross High,-113.0,70.0,D. Williams,Open Play Pass
33345,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,89:47,L. Depoitre,-46.0,54.0,Right,2,3,3,0,Defended,F. Hadergjonaj,Cross Low,-124.0,96.0,C. Quaner,Open Play Pass
33344,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,73:30,T. Ince,-37.0,42.0,Right,2,3,2,0,Defended,C. Quaner,Open Play Pass,-37.0,101.0,M. Jorgensen,Open Play Pass
33343,EngPr,2463088,2018-03-10,15:00:00,Huddersfield Town,Swansea City,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,05:07,S. Mounie,-46.0,27.0,Right,2,4,2,0,Missed,A. Pritchard,Open Play Pass,-24.0,96.0,J. Hogg,Open Play Pass
33373,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,poorchance,poorchance,Chelsea,Open Play,80:31,E. Hazard,41.0,91.0,Right,2,1,5,1,Missed,-,-,-,-,-,-
33365,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,verygoodchance,verygoodchance,Chelsea,Open Play,54:14,E. Hazard,49.0,31.0,Left,3,1,2,0,Saved,O. Giroud,Open Play Pass,57.0,100.0,T. Courtois,Open Play Pass
33366,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,fairlygoodchance,fairlygoodchance,Crystal Palace,Open Play,57:52,P. van Aanholt,3.0,76.0,Left,3,1,4,1,Saved,L. Milivojevic,Free Kick,95.0,52.0,-,-
33367,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,fairlygoodchance,fairlygoodchance,Chelsea,Direct Free-Kick,59:34,Willian,-10.0,104.0,Right,3,0,6,0,Saved,-,-,-,-,-,-
33368,EngPr,2463086,2018-03-10,17:30:00,Chelsea,Crystal Palace,verygoodchance,verygoodchance,Chelsea,Open Play,60:12,D. Zappacosta,-2.0,28.0,Left,3,1,2,0,Defended,Willian,Cross Low,-59.0,21.0,Fabregas,Open Play Pass
